Exceptionname,ExceptionGroupe,
AbsentInformationException,CheckException,
AclNotFoundException,CheckException,
ActivationException,CheckException,
AgentInitializationException,CheckException,
AgentLoadException,CheckException,
AlreadyBoundException,CheckException,
AttachNotSupportedException,CheckException,
AWTException,CheckException,
BackingStoreException,CheckException,
BadAttributeValueExpException,CheckException,
BadBinaryOpValueExpException,CheckException,
BadLocationException,CheckException,
BadStringOperationException,CheckException,
BrokenBarrierException,CheckException,
CardException,CheckException,
CertificateException,CheckException,
ClassNotLoadedException,CheckException,
CloneNotSupportedException,CheckException,
DataFormatException,CheckException,
DatatypeConfigurationException,CheckException,
DestroyFailedException,CheckException,
ExecutionControl.ExecutionControlException,CheckException,
ExecutionException,CheckException,
ExpandVetoException,CheckException,
FontFormatException,CheckException,
GeneralSecurityException,CheckException,
GSSException,CheckException,
IllegalClassFormatException,CheckException,
IllegalConnectorArgumentsException,CheckException,
IncompatibleThreadStateException,CheckException,
InterruptedException,CheckException,
IntrospectionException,CheckException,
InvalidApplicationException,CheckException,
InvalidMidiDataException,CheckException,
InvalidPreferencesFormatException,CheckException,
InvalidTargetObjectTypeException,CheckException,
InvalidTypeException,CheckException,
InvocationException,CheckException,
IOException,CheckException,
JMException,CheckException,
JShellException,CheckException,
KeySelectorException,CheckException,
LambdaConversionException,CheckException,
LastOwnerException,CheckException,
LineUnavailableException,CheckException,
MarshalException,CheckException,
MidiUnavailableException,CheckException,
MimeTypeParseException,CheckException,
NamingException,CheckException,
NoninvertibleTransformException,CheckException,
NotBoundException,CheckException,
NotOwnerException,CheckException,
ParseException,CheckException,
ParserConfigurationException,CheckException,
PrinterException,CheckException,
PrintException,CheckException,
PrivilegedActionException,CheckException,
PropertyVetoException,CheckException,
ReflectiveOperationException,CheckException,
RefreshFailedException,CheckException,
RuntimeException,CheckException,
SAXException,CheckException,
ScriptException,CheckException,
ServerNotActiveException,CheckException,
SQLException,CheckException,
StringConcatException,CheckException,
TimeoutException,CheckException,
TooManyListenersException,CheckException,
TransformerException,CheckException,
TransformException,CheckException,
UnmodifiableClassException,CheckException,
UnsupportedAudioFileException,CheckException,
UnsupportedCallbackException,CheckException,
UnsupportedFlavorException,CheckException,
UnsupportedLookAndFeelException,CheckException,
URIReferenceException,CheckException,
URISyntaxException,CheckException,
VMStartException,CheckException,
XAException,CheckException,
XMLParseException,CheckException,
XMLSignatureException,CheckException,
XMLStreamException,CheckException,
XPathException,CheckException,
AnnotationTypeMismatchException,RuntimeException,
ArithmeticException,RuntimeException,
ArrayStoreException,RuntimeException,
BufferOverflowException,RuntimeException,
BufferUnderflowException,RuntimeException,
CannotRedoException,RuntimeException,
CannotUndoException,RuntimeException,
CatalogException,RuntimeException,
ClassCastException,RuntimeException,
ClassNotPreparedException,RuntimeException,
CMMException,RuntimeException,
CompletionException,RuntimeException,
ConcurrentModificationException,RuntimeException,
DateTimeException,RuntimeException,
DOMException,RuntimeException,
DuplicateRequestException,RuntimeException,
EmptyStackException,RuntimeException,
EnumConstantNotPresentException,RuntimeException,
EventException,RuntimeException,
FileSystemAlreadyExistsException,RuntimeException,
FileSystemNotFoundException,RuntimeException,
FindException,RuntimeException,
IllegalArgumentException,RuntimeException,
IllegalCallerException,RuntimeException,
IllegalMonitorStateException,RuntimeException,
IllegalPathStateException,RuntimeException,
IllegalStateException,RuntimeException,
IllformedLocaleException,RuntimeException,
ImagingOpException,RuntimeException,
InaccessibleObjectException,RuntimeException,
IncompleteAnnotationException,RuntimeException,
InconsistentDebugInfoException,RuntimeException,
IndexOutOfBoundsException,RuntimeException,
InternalException,RuntimeException,
InvalidCodeIndexException,RuntimeException,
InvalidLineNumberException,RuntimeException,
InvalidModuleDescriptorException,RuntimeException,
InvalidModuleException,RuntimeException,
InvalidRequestStateException,RuntimeException,
InvalidStackFrameException,RuntimeException,
JarSignerException,RuntimeException,
JMRuntimeException,RuntimeException,
JSException,RuntimeException,
LayerInstantiationException,RuntimeException,
LSException,RuntimeException,
MalformedParameterizedTypeException,RuntimeException,
MalformedParametersException,RuntimeException,
MirroredTypesException,RuntimeException,
MissingResourceException,RuntimeException,
NashornException,RuntimeException,
NativeMethodException,RuntimeException,
NegativeArraySizeException,RuntimeException,
NoSuchDynamicMethodException,RuntimeException,
NoSuchElementException,RuntimeException,
NoSuchMechanismException,RuntimeException,
NullPointerException,RuntimeException,
ObjectCollectedException,RuntimeException,
ProfileDataException,RuntimeException,
ProviderException,RuntimeException,
ProviderNotFoundException,RuntimeException,
RangeException,RuntimeException,
RasterFormatException,RuntimeException,
RejectedExecutionException,RuntimeException,
ResolutionException,RuntimeException,
SecurityException,RuntimeException,
SPIResolutionException,RuntimeException,
TypeNotPresentException,RuntimeException,
UncheckedIOException,RuntimeException,
UndeclaredThrowableException,RuntimeException,
UnknownEntityException,RuntimeException,
UnknownTreeException,RuntimeException,
UnmodifiableModuleException,RuntimeException,
UnmodifiableSetException,RuntimeException,
UnsupportedOperationException,RuntimeException,
VMDisconnectedException,RuntimeException,
VMMismatchException,RuntimeException,
VMOutOfMemoryException,RuntimeException,
WrongMethodTypeException,RuntimeException,
XPathException,RuntimeException,
AnnotationFormatError,Error,
AssertionError,Error,
AWTError,Error,
CoderMalfunctionError,Error,
FactoryConfigurationError,Error,
FactoryConfigurationError,Error,
IOError,Error,
LinkageError,Error,
SchemaFactoryConfigurationError,Error,
ServiceConfigurationError,Error,
ThreadDeath,Error,
TransformerFactoryConfigurationError,Error,
VirtualMachineError,Error
